Name,Size (Imperial),Size (Metric),Calories,Calories From Fat,Total Fat,% Fat Daily Value,Saturated Fat,% Saturated Fat Daily Value,Trans Fat,Cholesterol,% Cholesterol Daily Value,Sodium,% Sodium Daily value,Carbohydrates,% Carbohydrates Daily Value,Dietary Fiber,% Dietary Fiber Daily Value,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Honey Mustard Snack Wrap® (Grilled),4.1,116,250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,4,16,2,2,10,10
Ranch Snack Wrap® (Crispy),4.2,118,350,170,19,29,5,26,0,35,11,750,31,31,10,1,5,2,14,2,2,10,10
Ranch Snack Wrap® (Grilled),4.2,118,270,110,12,18,4,21,0,45,15,700,29,25,8,1,5,2,16,2,2,10,10
McChicken®,5,143,360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Southern Style Crispy Chicken Sandwich,5.6,159,420,170,19,28,3,15,0,45,14,900,38,43,14,2,7,7,21,2,2,15,15
Premium Bacon Ranch Salad with Crispy Chicken,11.3,319,390,190,22,33,6,29,0,70,23,870,36,24,8,4,15,7,26,160,35,15,10
Premium Bacon Ranch Salad with Grilled Chicken,10.8,305,230,80,9,13,4,20,0,85,29,700,29,10,3,4,15,5,30,160,35,15,10
Premium Caesar Salad with Crispy Chicken,10.9,309,350,170,18,28,4.5,23,0,55,18,740,31,24,8,4,15,7,23,160,35,20,10
Premium Caesar Salad with Grilled Chicken,10.4,296,190,50,5,8,3,14,0,70,24,580,24,10,3,4,15,5,27,160,35,20,10
Premium Southwest Salad with Crispy Chicken,12.3,350,450,190,21,33,4.5,21,0,50,17,820,34,42,14,7,27,13,23,160,30,15,15
Premium Southwest Salad with Grilled Chicken,11.8,335,290,70,8,13,2.5,13,0,70,23,650,27,28,9,7,27,11,27,160,35,15,15
Spicy Chicken McBites™ Shareable Size,10,284,910,500,55,85,10,50,0,120,40,1990,83,61,20,1,4,1,46,15,4,10,10
Spicy Chicken McBites™ Snack Size,3,85,270,150,17,25,3,15,0,35,12,600,25,18,6,0,0,0,14,4,0,2,2
Blueberry Banana Nut Oatmeal,8.6,254,290,70,8,13,2,10,0,10,3,180,8,49,16,5,19,21,6,2,6,6,40
Fruit 'n Yogurt Parfait,5.2,149,150,20,2,3,1,5,0,5,2,70,3,30,10,1,3,23,4,2,15,10,4
Snack Size Fruit & Walnuts,1,163,210,70,8,13,1.5,7,0,5,2,60,2,31,10,2,9,25,4,0,170,8,2
Egg McMuffin®,4.9,139,300,110,12,19,5,24,0,260,87,820,34,30,10,2,8,3,18,10,0,30,20
Sausage McMuffin®,4,114,370,200,22,34,8,42,0,45,15,850,35,29,10,2,8,2,14,6,2,25,15
Sausage McMuffin® with Egg,5.8,164,450,250,27,42,10,51,0,285,95,920,38,30,10,2,8,2,21,10,2,30,20
"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",4.9,140,420,210,23,35,12,59,0,235,79,1160,48,37,12,2,7,3,15,10,0,15,15
Sausage Biscuit (Regular Size Biscuit),4.1,117,430,240,27,42,12,62,0,30,10,1080,45,34,11,2,6,2,11,0,0,6,15
Sausage Biscuit with Egg (Regular Size Biscuit),5.7,163,510,290,33,50,14,71,0,250,83,1170,49,36,12,2,6,2,18,6,0,10,20
"Bacon, Egg & Cheese McGriddles®",5.8,165,420,160,18,28,8,38,0,240,80,1110,46,48,16,2,8,15,15,10,0,20,15
Sausage McGriddles®,5,141,420,200,22,34,8,40,0,35,11,1030,43,44,15,2,8,15,11,0,0,8,10
"Sausage, Egg & Cheese McGriddles®",7.1,202,560,290,32,49,12,61,0,265,88,1360,56,48,16,2,8,15,20,10,0,20,15
Big Breakfast® (Regular Size Biscuit),9.5,269,740,430,48,73,17,87,0,555,185,1560,65,51,17,3,12,3,28,15,2,15,25
Big Breakfast with Hotcakes (Regular Size Biscuit),14.8,420,1090,510,56,87,19,96,0,575,192,2150,90,111,37,6,23,17,36,15,2,25,40
Cinnamon Melts,4,114,460,170,19,30,9,43,0,15,5,370,15,66,22,3,11,32,6,4,0,6,15
Hotcakes,5.3,151,350,80,9,13,2,9,0,20,7,590,24,60,20,3,10,14,8,0,0,15,15
Hotcakes and Sausage,6.8,192,520,210,24,37,7,36,0,50,17,930,39,61,20,3,10,14,15,0,0,15,15
"Bacon, Egg & Cheese Bagel",6.5,185,560,240,27,42,9,46,0.5,260,86,1300,54,56,19,3,10,7,24,20,2,20,20
Southern Style Chicken Biscuit (Regular Size Biscuit),5,143,410,180,20,31,8,41,0,30,10,1180,49,41,14,2,6,3,17,0,2,6,15
Sausage Burrito,3.9,111,300,140,16,25,7,33,0,115,38,830,35,26,9,1,4,2,12,10,2,15,15
Hash Brown,2,56,150,80,9,14,1.5,6,0,0,0,310,13,15,5,2,6,0,1,0,2,0,2
